1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
6.94;83.33;68.06;80.56;68.06;47.22;54.17;68.06;76.39;68.06;73.61;70.83;76.39;68.06;79.17;70.83
12.12;58.59;51.52;56.57;55.56;58.59;59.60;59.60;54.55;55.56;57.58;56.57;52.53;56.57;56.57;52.53
15.64;67.04;55.87;58.10;57.54;66.48;62.01;67.60;58.66;59.22;62.01;68.72;68.16;68.72;62.57;62.01
5.88;88.24;88.24;88.24;88.24;88.24;88.24;88.24;88.24;88.24;88.24;88.24;88.24;88.24;88.24;88.24
22.95;63.93;59.02;65.57;45.90;67.21;72.13;65.57;67.21;62.30;65.57;72.13;68.85;72.13;67.21;72.13
25.26;67.37;69.47;68.42;71.58;66.32;63.16;75.79;69.47;72.63;73.68;70.53;73.68;74.74;75.79;71.58
2.27;79.55;77.27;77.27;84.09;79.55;79.55;84.09;79.55;84.09;84.09;79.55;81.82;84.09;81.82;81.82
8.00;54.00;38.00;54.00;60.00;52.00;54.00;60.00;52.00;58.00;60.00;52.00;58.00;60.00;58.00;58.00
6.52;58.70;58.70;67.39;71.74;58.70;67.39;71.74;67.39;71.74;76.09;65.22;71.74;76.09;73.91;76.09
5.56;74.07;75.93;77.78;81.48;59.26;61.11;62.96;66.67;75.93;66.67;61.11;64.81;66.67;74.07;59.26
40.74;59.26;70.37;59.26;74.07;74.07;59.26;74.07;74.07;77.78;74.07;74.07;77.78;74.07;77.78;77.78
21.92;78.08;76.71;78.08;78.08;69.86;69.86;83.56;78.08;83.56;83.56;76.71;80.82;78.08;83.56;78.08
11.58;80.00;63.16;74.74;74.74;78.95;83.16;83.16;76.84;75.79;76.84;83.16;83.16;83.16;78.95;78.95
13.51;72.97;63.51;66.22;59.46;71.62;75.68;75.68;68.92;66.22;70.27;75.68;74.32;79.73;72.97;79.73
5.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00;85.00
4.92;54.10;42.62;47.54;42.62;54.10;59.02;54.10;54.10;44.26;54.10;59.02;54.10;59.02;55.74;59.02
13.24;52.94;52.94;47.06;54.41;57.35;54.41;57.35;58.82;55.88;58.82;58.82;58.82;58.82;60.29;58.82
0.00;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33
14.04;59.65;43.86;59.65;56.14;59.65;57.89;63.16;59.65;56.14;63.16;59.65;63.16;63.16;61.40;61.40
27.66;65.96;59.57;57.45;40.43;65.96;65.96;65.96;59.57;59.57;57.45;63.83;63.83;63.83;57.45;63.83
22.22;55.56;22.22;55.56;55.56;55.56;55.56;55.56;55.56;55.56;55.56;55.56;55.56;55.56;55.56;55.56
