1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
912.15;122.12;92.98;122.58;103.05;257.46;338.83;86.78;83.76;67.53;82.39;85.43;91.78;85.29;84.56;89.13
937.18;85.53;88.46;85.35;84.46;247.86;323.11;45.81;42.54;42.33;42.07;44.21;58.54;44.47;44.24;46.97
2192.87;336.26;336.92;333.01;318.14;1001.53;1285.20;199.04;190.00;184.98;182.09;191.91;270.16;188.74;190.82;221.55
223.03;11.70;11.14;11.07;11.31;28.46;37.17;5.36;4.90;4.89;4.98;5.16;6.62;4.97;5.13;5.47
591.01;23.14;23.58;23.22;21.54;58.37;71.86;10.89;9.36;9.48;9.49;10.21;13.57;10.31;10.01;11.11
1083.16;84.13;83.08;83.66;80.98;213.25;275.73;52.42;49.51;48.58;49.13;52.23;66.44;50.51;50.49;64.91
517.52;44.10;39.74;44.26;43.87;87.56;103.98;31.65;31.20;30.74;31.12;26.69;38.80;31.53;26.70;35.72
411.51;35.67;36.54;36.46;36.01;83.90;99.00;23.08;22.20;22.15;21.89;22.55;27.00;22.42;22.54;25.59
536.93;44.00;44.95;44.49;43.65;86.76;103.01;31.86;31.27;30.86;30.89;31.75;34.60;31.47;31.20;34.37
848.36;82.00;76.14;77.52;78.86;154.59;178.90;64.86;58.21;57.52;61.81;59.17;70.89;58.89;62.46;65.67
38.16;12.58;12.68;12.14;12.50;27.83;39.93;6.20;5.15;5.39;5.44;5.44;9.09;5.46;5.49;6.87
970.27;81.58;78.11;80.82;78.28;176.56;217.39;57.69;50.54;50.34;54.39;52.00;65.67;55.92;51.54;61.89
824.36;71.34;71.35;74.72;70.33;192.14;252.00;40.93;38.00;36.86;36.95;38.67;51.40;37.57;37.31;46.41
905.74;65.22;61.26;64.96;59.28;174.45;214.53;34.27;32.83;31.47;36.82;38.93;47.52;37.47;33.11;43.58
127.97;8.40;8.59;8.57;8.84;22.93;27.51;4.25;3.69;3.73;3.74;3.76;4.94;3.76;3.81;4.45
310.14;34.10;34.65;28.53;33.56;91.82;106.93;19.95;18.79;18.65;18.66;19.79;29.57;19.31;19.39;25.46
548.93;30.71;30.54;30.87;31.88;87.36;107.76;15.76;14.67;14.55;14.78;15.37;24.43;15.12;15.46;23.44
9.10;6.04;5.92;5.95;5.98;15.19;19.08;2.74;2.56;2.57;2.58;2.64;4.05;2.68;2.63;3.42
500.13;48.27;49.04;48.85;71.09;118.86;147.41;29.74;28.49;52.58;52.62;29.29;64.06;53.13;29.41;62.85
556.12;48.36;48.83;47.96;46.91;94.31;116.68;33.90;33.40;33.15;32.78;33.81;41.01;33.22;33.41;39.92
7.66;6.52;6.33;6.50;6.60;17.43;21.85;3.21;2.81;2.91;2.91;2.95;5.30;2.96;3.01;4.33
