R;E;P;J;AS
50,0;44,3;0,0;27,9;49,3
52,4;29,0;28,1;83,8;83,8
52,4;29,0;26,7;84,3;84,3
35,5;21,3;10,6;79,7;79,7
30,0;56,0;28,0;50,5;77,5
100,0;92,5;100,0;100,0;100,0
100,0;92,5;100,0;100,0;100,0
48,1;23,1;26,4;76,0;82,4
95,5;19,8;32,5;52,9;64,5
30,4;0,0;26,6;34,9;45,3
76,8;68,1;61,3;57,4;73,5
82,6;69,6;73,9;70,0;74,8
77,4;63,5;77,1;67,4;81,3
83,9;55,2;81,6;69,7;84,2
82,8;79,8;72,1;65,6;87,9
73,0;66,2;67,6;53,0;78,1
24,5;44,6;21,7;52,4;68,2
31,0;67,1;27,6;31,0;73,5
30,7;75,7;23,1;54,3;84,4
33,7;64,7;0,0;23,0;65,4
17,5;93,8;1,3;38,6;93,8
82,5;65,1;71,3;48,2;84,3
79,6;61,2;51,0;48,1;74,8
68,4;7,0;51,5;44,2;53,1
76,8;59,3;58,1;57,8;74,5
68,3;60,1;55,7;54,7;74,6
76,7;64,4;54,8;56,5;76,7
76,7;64,4;55,4;53,3;76,3
75,6;64,4;55,3;59,2;76,2
1,3;30,3;0,0;31,8;42,4
57,6;31,3;55,3;34,0;56,8
39,5;44,2;39,5;29,1;51,6
51,8;46,3;64,6;41,8;75,1
