RA;DY;MI;MO;WS
55.92;78.67;58.29;73.46;65.88
63.55;71.50;65.42;63.08;68.22
35.40;72.51;59.45;61.51;63.57
83.33;100.00;100.00;100.00;100.00
62.86;80.71;73.57;86.43;45.00
62.33;67.81;64.38;67.12;68.49
65.91;86.36;86.36;88.64;86.36
74.07;55.56;44.44;55.56;70.37
87.50;81.94;81.94;87.50;87.50
67.57;93.24;93.24;93.24;93.24
100.00;85.71;100.00;85.71;100.00
66.13;82.26;85.48;85.48;70.97
70.33;78.02;67.03;76.92;78.02
55.36;80.36;72.32;75.89;75.00
81.25;81.25;81.25;81.25;81.25
29.73;31.89;27.03;32.97;28.65
21.93;34.21;34.21;28.07;35.09
94.74;94.74;94.74;94.74;94.74
70.00;64.29;51.43;64.29;62.86
87.50;84.72;81.94;81.94;73.61
80.00;80.00;80.00;80.00;80.00
