DY;MI;MO;WS;AS
78.67;58.29;73.46;65.88;80.09
71.50;65.42;63.08;68.22;72.9
72.51;59.45;61.51;63.57;75.95
100.00;100.00;100.00;100.00;100.00
80.71;73.57;86.43;45.00;87.14
67.81;64.38;67.12;68.49;72.6
86.36;86.36;88.64;86.36;88.64
55.56;44.44;55.56;70.37;70.37
81.94;81.94;87.50;87.50;90.28
93.24;93.24;93.24;93.24;93.24
85.71;100.00;85.71;100.00;100.00
82.26;85.48;85.48;70.97;85.48
78.02;67.03;76.92;78.02;80.22
80.36;72.32;75.89;75.00;85.71
81.25;81.25;81.25;81.25;81.25
31.89;27.03;32.97;28.65;45.41
34.21;34.21;28.07;35.09;35.09
94.74;94.74;94.74;94.74;94.74
64.29;51.43;64.29;62.86;70.00
84.72;81.94;81.94;73.61;84.72
80.00;80.00;80.00;80.00;80.00
