RA;DY;MI;MO;WS
27.27;82.14;82.05;65.38;68.18
75.00;73.91;87.10;63.64;36.84
14.81;68.00;48.00;60.71;63.89
76.92;95.24;95.24;100.00;94.12
44.44;82.35;80.00;80.65;78.26
60.00;72.73;78.79;59.09;52.63
46.67;80.77;76.92;93.94;90.91
66.67;59.38;35.71;53.85;76.00
78.57;68.75;81.48;63.33;79.41
58.82;66.67;82.35;75.00;66.67
73.33;70.00;55.00;57.89;61.11
35.29;78.26;72.73;75.00;56.00
42.86;77.42;47.83;50.00;66.67
30.77;76.19;90.48;62.50;36.84
90.91;100.00;90.48;68.42;94.44
20.00;40.54;13.79;29.41;32.50
32.00;60.71;56.00;33.33;46.43
90.00;84.62;84.62;84.62;84.62
58.82;66.67;48.39;65.38;74.07
56.52;64.00;65.38;48.00;55.56
52.94;58.82;52.94;50.00;58.82
