DY;MI;MO;WS;AS
92.68;80.49;87.80;87.80;92.68
48.15;48.15;48.15;48.15;48.15
55.00;40.00;45.00;50.00;60.00
95.45;95.45;95.45;95.45;95.45
82.86;71.43;85.71;42.86;85.71
91.30;91.30;91.30;87.50;91.67
81.48;81.48;81.48;81.48;81.48
43.33;33.33;43.33;70.00;70.00
66.67;66.67;76.67;76.67;76.67
70.59;70.59;64.71;64.71;70.59
61.90;71.43;61.90;71.43;80.95
92.00;96.00;96.00;96.00;96.00
74.29;57.14;74.29;74.29;74.29
68.00;52.00;64.00;48.00;80.00
90.48;90.48;90.48;90.48;90.48
45.83;48.15;42.31;45.83;57.69
42.42;42.42;33.33;45.45;45.45
84.62;84.62;84.62;84.62;84.62
60.00;50.00;62.50;50.00;62.50
68.00;56.00;56.00;52.00;68.00
58.82;52.94;58.82;58.82;58.82
