RA;DY;MI;MO;WS
52.78;83.33;68.06;86.11;68.06
53.54;58.59;51.52;56.57;55.56
39.66;67.60;55.87;58.66;57.54
76.47;88.24;88.24;88.24;88.24
45.90;65.57;60.66;67.21;47.54
53.68;67.37;69.47;68.42;71.58
72.73;79.55;77.27;77.27;84.09
74.00;54.00;40.00;54.00;64.00
71.74;58.70;58.70;67.39;71.74
64.81;79.63;81.48;83.33;81.48
74.07;59.26;70.37;59.26;74.07
64.38;78.08;76.71;78.08;78.08
65.26;80.00;63.16;74.74;74.74
58.11;72.97;63.51;66.22;59.46
80.00;85.00;85.00;85.00;85.00
44.26;57.38;45.90;50.82;45.90
47.06;52.94;52.94;47.06;54.41
83.33;83.33;83.33;83.33;83.33
68.42;64.91;45.61;64.91;61.40
74.47;65.96;59.57;57.45;40.43
44.44;55.56;22.22;55.56;55.56
