DY;MI;MO;WS;AS
83.33;68.06;86.11;68.06;86.11
58.59;51.52;56.57;55.56;60.61
67.60;55.87;58.66;57.54;72.63
88.24;88.24;88.24;88.24;88.24
65.57;60.66;67.21;47.54;73.77
67.37;69.47;68.42;71.58;78.95
79.55;77.27;77.27;84.09;84.09
54.00;40.00;54.00;64.00;64.00
58.70;58.70;67.39;71.74;76.09
79.63;81.48;83.33;81.48;87.04
59.26;70.37;59.26;74.07;77.78
78.08;76.71;78.08;78.08;83.56
80.00;63.16;74.74;74.74;83.16
72.97;63.51;66.22;59.46;81.08
85.00;85.00;85.00;85.00;85.00
57.38;45.90;50.82;45.90;62.30
52.94;52.94;47.06;54.41;60.29
83.33;83.33;83.33;83.33;83.33
64.91;45.61;64.91;61.40;68.42
65.96;59.57;57.45;40.43;65.96
55.56;22.22;55.56;55.56;55.56
