DY;MI;MO;WS;AS
80.33;67.36;78.24;71.55;81.17
64.92;56.05;61.29;60.48;66.13
71.82;65.95;66.93;68.30;74.56
92.45;90.57;90.57;90.57;92.45
77.00;70.00;77.00;46.00;84.00
74.21;72.85;73.30;74.66;79.64
86.79;87.74;84.91;88.68;88.68
73.55;63.64;73.55;79.34;79.34
86.36;86.36;89.09;90.91;91.82
86.76;86.76;89.71;86.76;91.18
79.10;86.57;79.10;83.58;88.06
82.80;83.87;83.87;83.87;86.02
88.29;81.08;85.14;87.84;91.44
78.28;75.76;76.26;77.27;83.84
91.67;87.50;89.58;91.67;91.67
41.74;33.91;39.13;36.52;46.96
65.12;67.44;59.69;66.67;71.32
89.66;89.66;89.66;89.66;89.66
80.65;69.68;80.65;76.77;83.23
84.43;84.43;81.15;76.23;87.7
85.71;62.86;85.71;91.43;91.43
